Recency,Frequency,AIT,Average Order Value,is_using_app,has_acc_manager,Cross_category_Count,Avg_Spend_Last_90,Spending_Velocity,probability_alive,T,churn_label,price_group,item_category,Monetary,Is_credit_limit
101,40,25.615384615384617,195090.54545454544,No,Yes,9,284348.7826086957,1.457522105677575,0.9200353356176224,1081.0,0,SEG_2,CAT_6,55102464.75545779,1
165,5,211.75,72760.0,No,Yes,4,1650.0,0.0226772952171522,0.936535276823498,993.0,1,SEG_1,CAT_3,2374932.2590941805,0
94,9,101.125,52111.0,No,Yes,9,10560.0,0.2026443553184548,0.957849893679592,884.0,1,SEG_1,CAT_6,3687055.3179870956,0
80,295,3.517006802721089,65482.20813397129,Yes,Yes,13,25636.727272727272,0.3915067619631367,0.0024041399727759,1095.0,0,SEG_4,CAT_3,82163319.12676302,1
80,295,3.517006802721089,65482.20813397129,Yes,Yes,13,25636.727272727272,0.3915067619631367,0.0024041399727759,1095.0,0,SEG_4,CAT_3,82505933.2593771,1
121,112,8.891891891891891,20132.848484848484,Yes,Yes,10,28547.69230769231,1.4179658844190202,0.0815794934411236,1089.0,1,SEG_1,CAT_6,12117409.80305136,1
186,9,69.625,9939.8,No,Yes,2,,0.0,0.8450242244031659,724.0,0,SEG_1,CAT_2,797884.7575990063,0
253,16,56.4,52075.75,No,Yes,6,,0.0,0.7338743545566954,1080.0,1,SEG_3,CAT_6,8810727.593347425,0
136,8,49.0,27201.2,No,Yes,6,17238.571428571428,0.6337430491511928,0.8621126580323559,460.0,0,SEG_1,CAT_3,2823200.5281201825,0
99,84,11.89156626506024,74921.71337579619,Yes,Yes,11,17072.125,0.2278661849919095,0.646158128430434,1067.0,0,SEG_3,CAT_4,42686086.21051531,0
114,32,30.90322580645161,34353.52631578947,No,Yes,5,21000.0,0.6112909576432053,0.9080770201473684,1053.0,0,SEG_1,CAT_7,6258972.746170001,0
154,14,70.84615384615384,12186.588235294115,No,Yes,5,19420.5,1.593596142335837,0.9291486850599596,1056.0,1,SEG_1,CAT_2,1301948.6874983064,1
616,1,0.0,17784.0,No,Yes,1,,0.0,1.0,597.0,1,SEG_2,CAT_1,243029.33617578595,0
773,2,258.0,50728.5,No,Yes,1,,0.0,0.6641247721354844,1012.0,1,SEG_1,CAT_2,809802.870771524,0
906,1,0.0,2550.0,Yes,Yes,1,,0.0,1.0,887.0,1,SEG_1,CAT_1,72684.2142963869,0
906,1,0.0,2550.0,Yes,Yes,1,,0.0,1.0,887.0,1,SEG_1,CAT_1,73897.45059477081,0
239,13,67.25,44521.53846153846,No,Yes,2,,0.0,0.8642191456274791,1027.0,1,SEG_2,CAT_4,2956259.4532935787,0
80,45,23.227272727272727,62544.220338983054,Yes,Yes,4,81787.5,1.3076747868423395,0.9475713013160914,1083.0,0,SEG_1,CAT_2,16067316.877092453,1
80,45,23.227272727272727,62544.220338983054,Yes,Yes,4,81787.5,1.3076747868423395,0.9475713013160914,1083.0,0,SEG_1,CAT_2,16082806.873564791,1
120,55,17.90740740740741,2922.1012658227846,No,Yes,7,2405.0,0.8230378694021123,0.5800849981559911,1068.0,0,SEG_2,CAT_4,1425524.4543505237,0
86,98,10.58762886597938,24618.57638888889,No,Yes,10,27900.23076923077,1.13329992476019,0.7091585822906697,1094.0,0,SEG_1,CAT_6,15702484.13034419,1
354,40,19.487179487179485,12254.382978723404,No,Yes,7,,0.0,0.0003785883297163,1095.0,1,SEG_2,CAT_3,2950418.3931741295,0
84,42,24.804878048780488,6952.523809523809,Yes,Yes,10,1204.6,0.1732608234077381,0.9501696409339776,1082.0,0,SEG_1,CAT_4,1715061.0933798088,0
114,43,22.30952380952381,40717.01369863014,No,Yes,5,20046.666666666668,0.4923412806018509,0.7841735495379484,1032.0,0,SEG_3,CAT_3,13301338.931749582,1
80,279,3.7050359712230216,77498.8877118644,Yes,Yes,12,63086.31578947369,0.8140286609534878,0.0052405292645738,1091.0,0,SEG_4,CAT_3,104194658.73480566,1
